,day,idx,omit,reward_zone_end,reward_zone_start,swap_type,swap_zone_end,swap_zone_start,trial,trial_type,animal,hdb_labels,HMM_label
1,5,GCAMP7_5_1,False,370,320,swap_proximal,250.0,200.0,1,pre_swap,GCAMP7,36,1
2,5,GCAMP7_5_2,False,370,320,swap_proximal,250.0,200.0,2,pre_swap,GCAMP7,36,1
3,5,GCAMP7_5_3,False,370,320,swap_proximal,250.0,200.0,3,pre_swap,GCAMP7,65,1
4,5,GCAMP7_5_4,False,370,320,swap_proximal,250.0,200.0,4,pre_swap,GCAMP7,65,1
5,5,GCAMP7_5_5,False,370,320,swap_proximal,250.0,200.0,5,pre_swap,GCAMP7,65,1
6,5,GCAMP7_5_6,False,370,320,swap_proximal,250.0,200.0,6,pre_swap,GCAMP7,24,2
7,5,GCAMP7_5_7,False,370,320,swap_proximal,250.0,200.0,7,pre_swap,GCAMP7,2,2
8,5,GCAMP7_5_8,False,370,320,swap_proximal,250.0,200.0,8,pre_swap,GCAMP7,65,1
9,5,GCAMP7_5_9,False,370,320,swap_proximal,250.0,200.0,9,pre_swap,GCAMP7,36,1
10,5,GCAMP7_5_10,False,370,320,swap_proximal,250.0,200.0,10,pre_swap,GCAMP7,65,1
11,5,GCAMP7_5_11,False,370,320,swap_proximal,250.0,200.0,11,pre_swap,GCAMP7,97,2
12,5,GCAMP7_5_12,False,370,320,swap_proximal,250.0,200.0,12,pre_swap,GCAMP7,95,2
13,5,GCAMP7_5_13,True,370,320,swap_proximal,250.0,200.0,13,pre_swap,GCAMP7,15,6
14,5,GCAMP7_5_14,False,370,320,swap_proximal,250.0,200.0,14,pre_swap,GCAMP7,67,1
15,5,GCAMP7_5_15,False,370,320,swap_proximal,250.0,200.0,15,pre_swap,GCAMP7,65,1
16,5,GCAMP7_5_16,False,370,320,swap_proximal,250.0,200.0,16,pre_swap,GCAMP7,64,1
17,5,GCAMP7_5_17,False,370,320,swap_proximal,250.0,200.0,17,pre_swap,GCAMP7,41,2
18,5,GCAMP7_5_18,False,370,320,swap_proximal,250.0,200.0,18,pre_swap,GCAMP7,21,2
19,5,GCAMP7_5_19,False,370,320,swap_proximal,250.0,200.0,19,pre_swap,GCAMP7,65,1
20,5,GCAMP7_5_20,True,370,320,swap_proximal,250.0,200.0,20,pre_swap,GCAMP7,79,6
21,5,GCAMP7_5_21,False,370,320,swap_proximal,250.0,200.0,21,pre_swap,GCAMP7,21,2
22,5,GCAMP7_5_22,False,370,320,swap_proximal,250.0,200.0,22,pre_swap,GCAMP7,73,2
23,5,GCAMP7_5_23,False,370,320,swap_proximal,250.0,200.0,23,pre_swap,GCAMP7,65,1
